x,y,R,G,B
0,0,7,13,63
1,0,7,13,63
2,0,7,13,63
3,0,7,13,63
4,0,8,14,66
5,0,8,14,66
6,0,8,13,69
7,0,9,14,70
8,0,10,15,73
9,0,10,15,73
10,0,10,14,75
11,0,11,15,76
12,0,11,15,78
13,0,12,16,79
14,0,12,16,80
15,0,12,15,82
16,0,12,16,89
17,0,12,16,90
18,0,13,17,91
19,0,13,17,91
20,0,12,18,94
21,0,12,18,94
22,0,12,18,96
23,0,12,18,96
24,0,14,21,102
25,0,14,21,102
26,0,13,21,104
27,0,14,22,105
28,0,14,22,107
29,0,14,22,107
30,0,15,22,110
31,0,15,22,110
32,0,13,23,112
33,0,13,23,112
34,0,14,23,114
35,0,14,23,114
36,0,14,23,114
37,0,15,24,115
38,0,15,24,117
39,0,15,24,117
40,0,14,23,116
41,0,14,23,116
42,0,15,24,119
43,0,15,24,119
44,0,15,23,121
45,0,16,24,122
46,0,16,24,122
47,0,16,24,122
48,0,15,25,122
49,0,16,26,123
50,0,16,26,123
51,0,16,26,123
52,0,17,27,125
53,0,17,27,125
54,0,17,27,125
55,0,18,28,126
56,0,18,27,128
57,0,18,27,128
58,0,18,27,130
59,0,18,27,130
60,0,18,27,130
61,0,18,27,130
62,0,18,27,132
63,0,16,27,133
64,0,17,28,136
65,0,16,28,138
66,0,16,28,138
67,0,16,28,138
68,0,16,28,138
69,0,16,28,138
70,0,16,28,138
71,0,16,28,138
72,0,16,28,138
73,0,16,28,138
74,0,16,28,138
75,0,16,28,138
76,0,16,28,138
77,0,16,28,138
78,0,16,28,138
79,0,16,28,138
80,0,18,29,144
81,0,18,29,144
82,0,18,29,144
83,0,18,29,144
84,0,18,29,144
85,0,18,29,144
86,0,18,29,144
87,0,18,29,144
88,0,16,27,142
89,0,16,27,142
90,0,16,27,142
91,0,16,27,142
92,0,16,27,142
93,0,16,27,142
94,0,16,27,142
95,0,16,28,140
96,0,18,25,139
97,0,18,26,137
98,0,18,26,135
99,0,18,26,135
100,0,18,26,135
101,0,18,26,135
102,0,18,26,133
103,0,18,26,133
104,0,18,27,132
105,0,18,27,132
106,0,18,27,132
107,0,18,27,132
108,0,18,27,130
109,0,18,27,130
110,0,18,27,130
111,0,18,27,130
112,0,17,26,127
113,0,17,26,127
114,0,17,26,127
115,0,17,26,127
116,0,17,26,127
117,0,17,26,127
118,0,17,26,127
119,0,17,26,127
120,0,17,26,127
121,0,17,26,127
122,0,17,26,127
123,0,17,26,127
124,0,17,26,127
125,0,17,26,127
126,0,17,26,127
